name|tags|str|dex|wil|hp|armour|data|desc|info||
Bear|beast|15||7|6|1|2d6~Claws, d8~Bite||||
Brain Lord|monster|14|14|20|18||\mbox{immune} to mind control magic|Its psychic ability allows it to levitate, project itself to other realities, and telepathically issue any command. If the target refuses to obey the command, they must succeed on a \save{WIL} or lose d8~WIL.|\subparagraph{Mind Blast:} attacks the target's mind with psychic energy for d8 Damage. Critical Damage affects WIL instead of STR and is avoided by a \save{WIL}.|\subparagraph{Critical Damage in Melee:} the target has its brain extracted and eaten. The Brain Lord absorbs its recent memories.|
Crocodile|beast|15||5|3|1|d8~Bite||||
Deer|beast||16|5|2||d6~Hooves||||
Elephant|beast|20||8|12|1|d10~Tusks||\subparagraph{Charge:} the target must pass a \save{DEX} or take Tusks Damage and be knocked prone.|\subparagraph{Trample:} a prone target takes d12~Damage.|
Elk|beast|16||5|6||d8~Horns||||
Filth Eater|monster|16|6|5|16|1|d6~Bite|Big, stupid beasts that eat nearly anything they find. Much prefer dead food to alive. Can bark out a very limited vocabulary of common tongue but have little comprehension.|\subparagraph{Critical Damage:} the target contracts filth fever unless they pass a \save{STR}. If they fail, then for the next day they are violently ill and do not benefit from Resting.||
Gazer|monster|16|16|17|20|1||Actively seeks to destroy any other lifeforms. Magic does not work within the Gazer's sight. May fire two of the following beams at different targets each turn.|\subparagraph{Telekinesis Beam:} up to an elephant-sized target is lifted, moved, or thrown. Living targets thrown this way take d6 Damage, but thrown objects may cause up to d12, depending on the size.|\subparagraph{Terror Beam:} \save{WIL} or be terrified. If you do anything on your next turn other than freeze or flee, you lose d6~WIL.|\subparagraph{Disintegration Beam:} d6 Damage ignoring \mbox{Armour}. Anyone taking Critical Damage is turned to dust. Will completely destroy static objects up to the size of an elephant.
Gelatinous Cube|monster|14|3|3|16|2||Appears as hazy, wet air until the observer is dangerously close to the Cube. A chemical smell may betray its nature from further away. The Cube is attracted to noise and heat.|Does not perform normal attacks. Anyone that the Cube moves over is engulfed unless they pass a \save{DEX} to jump aside, assuming there is room to. Those engulfed lose d8~DEX each turn and d6~STR every hour as they are digested. They cannot free themselves but must be pulled from the Cube by other means. When the Cube takes Critical Damage, it collapses into a puddle of sticky ooze.||
Ghoul|monster,undead|13|15|6|5||2d6 Claws, d8 Bite, \mbox{immune} to mind control magic|Monstrous denizens of forlorn cemeteries feed on human flesh, be it dead or alive.|\subparagraph{Ghoul Touch:} if the claws reduce STR score, \mbox{the target} is Stunned until passing a \save{STR} at the end of their turn, exuding stench that makes those nearby sickened.||
Gnoll|monster|12|12|7|9|2 (light + shield)|axe (d6), 3d6s in stolen coins and trinkets|Their stink is highly recognisable and spreads throughout their surroundings. 1-in-6 chance of being non-hostile. Can be bargained with but are only really interested in meat, preferably alive.|||
Goblin|monster|8|14|8|4||spear (d6), bow (d4)|Mischievous creatures that can easily be bribed with items that they consider pretty. Some of them can cast Cantrips.|||
Hellhound|monster,demon||12||5|1|d6~Bite, \mbox{immune} to Fire|Black fiery demonic dogs that hunt in packs.|\subparagraph{Fire Breath:} d4 Fire Damage in a small cone.||
